# HDT throughput run started 2026-09-18T15:54:42+02:00
# config: virtual_file_size_mb=50 conn_interval_units=80 packet_size_bytes=506 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms,connection_interval_ms,packet_size_bytes
2026-09-18T20:16:43+02:00,HDT6,50,3366,3390,123860,100,506
2026-09-18T20:19:29+02:00,HDT4,50,2639,2567,163343,100,506
2026-09-18T20:22:51+02:00,HDT3,50,2108,2093,200500,100,506
2026-09-18T20:27:33+02:00,HDT2,50,1545,1505,278890,100,506
2026-09-18T20:29:39+02:00,HDT7.5,50,3122,3391,123891,100,506
2026-09-18T20:31:47+02:00,HDT6,50,3380,3330,125938,100,506
2026-09-18T20:34:32+02:00,HDT4,50,2591,2573,163094,100,506
2026-09-18T20:37:53+02:00,HDT3,50,2124,2108,199031,100,506
2026-09-18T20:42:34+02:00,HDT2,50,1513,1505,278781,100,506
2026-09-18T20:44:37+02:00,HDT7.5,50,3798,3454,121375,100,506
2026-09-18T20:46:45+02:00,HDT6,50,3412,3329,126094,100,506
2026-09-18T20:49:30+02:00,HDT4,50,2591,2572,163078,100,506
2026-09-18T20:52:52+02:00,HDT3,50,2108,2104,199453,100,506
2026-09-18T20:57:32+02:00,HDT2,50,1545,1507,278328,100,506
2026-09-18T20:59:37+02:00,HDT7.5,50,3863,3431,122438,100,506
2026-09-18T21:01:44+02:00,HDT6,50,3444,3347,125375,100,506
2026-09-18T21:04:30+02:00,HDT4,50,2623,2570,163172,100,506
2026-09-18T21:07:52+02:00,HDT3,50,2140,2098,199969,100,506
2026-09-18T21:12:32+02:00,HDT2,50,1545,1510,277765,100,506
2026-09-18T21:14:38+02:00,HDT7.5,50,3895,3380,124047,100,506
2026-09-18T21:16:45+02:00,HDT6,50,3331,3356,125000,100,506
2026-09-18T21:19:30+02:00,HDT4,50,2591,2571,163188,100,506
2026-09-18T21:22:51+02:00,HDT3,50,2124,2109,198859,100,506
2026-09-18T21:27:32+02:00,HDT2,50,1545,1503,279109,100,506
2026-09-18T21:29:36+02:00,HDT7.5,50,2068,3428,122313,100,506
2026-09-18T21:31:44+02:00,HDT6,50,3380,3353,125140,100,506
2026-09-18T21:34:29+02:00,HDT4,50,2591,2575,162860,100,506
2026-09-18T21:37:51+02:00,HDT3,50,2156,2097,200047,100,506
2026-09-18T21:42:32+02:00,HDT2,50,1545,1504,279031,100,506
2026-09-18T21:44:36+02:00,HDT7.5,50,3911,3459,121265,100,506
2026-09-18T21:46:43+02:00,HDT6,50,3460,3341,125750,100,506
2026-09-18T21:49:28+02:00,HDT4,50,2591,2578,162953,100,506
2026-09-18T21:52:50+02:00,HDT3,50,2124,2100,199656,100,506
2026-09-18T21:57:31+02:00,HDT2,50,1496,1508,278250,100,506
2026-09-18T21:59:36+02:00,HDT7.5,50,3879,3386,123828,100,506
2026-09-18T22:01:44+02:00,HDT6,50,3412,3351,125297,100,506
2026-09-18T22:04:29+02:00,HDT4,50,2607,2578,162687,100,506
2026-09-18T22:07:50+02:00,HDT3,50,2124,2105,199282,100,506
2026-09-18T22:12:30+02:00,HDT2,50,1513,1509,277984,100,506
2026-09-18T22:14:38+02:00,HDT7.5,50,3766,3341,125453,100,506
2026-09-18T22:16:46+02:00,HDT6,50,3364,3344,125406,100,506
2026-09-18T22:19:31+02:00,HDT4,50,2623,2571,163172,100,506
2026-09-18T22:22:52+02:00,HDT3,50,2140,2100,199734,100,506
2026-09-18T22:27:33+02:00,HDT2,50,1513,1506,278469,100,506
2026-09-18T22:29:39+02:00,HDT7.5,50,3895,3390,123688,100,506
2026-09-18T22:31:46+02:00,HDT6,50,3380,3341,125547,100,506
2026-09-18T22:34:31+02:00,HDT4,50,2639,2576,162797,100,506
2026-09-18T22:37:54+02:00,HDT3,50,2156,2095,200250,100,506
2026-09-18T22:42:34+02:00,HDT2,50,1529,1505,278687,100,506
2026-09-18T22:44:43+02:00,HDT7.5,50,2913,3314,126656,100,506
2026-09-18T22:46:51+02:00,HDT6,50,3380,3350,125312,100,506
2026-09-18T22:49:35+02:00,HDT4,50,2639,2579,162672,100,506
2026-09-18T22:52:57+02:00,HDT3,50,2124,2100,199765,100,506
2026-09-18T22:57:38+02:00,HDT2,50,1545,1505,278704,100,506
2026-09-18T22:59:43+02:00,HDT7.5,50,3830,3394,123547,100,506
2026-09-18T23:01:50+02:00,HDT6,50,3444,3362,124797,100,506
2026-09-18T23:04:35+02:00,HDT4,50,2591,2584,162391,100,506
2026-09-18T23:07:56+02:00,HDT3,50,2124,2104,199390,100,506
2026-09-18T23:12:37+02:00,HDT2,50,1513,1506,278547,100,506
2026-09-18T23:14:43+02:00,HDT7.5,50,3830,3387,123781,100,506
2026-09-18T23:16:49+02:00,HDT6,50,3412,3374,124359,100,506
2026-09-18T23:19:36+02:00,HDT4,50,2639,2560,163891,100,506
2026-09-18T23:22:57+02:00,HDT3,50,2156,2100,199765,100,506
2026-09-18T23:27:39+02:00,HDT2,50,1513,1501,279437,100,506
2026-09-18T23:29:45+02:00,HDT7.5,50,3846,3390,123672,100,506
2026-09-18T23:31:52+02:00,HDT6,50,3444,3351,125219,100,506
2026-09-18T23:34:37+02:00,HDT4,50,2591,2582,162468,100,506
2026-09-18T23:37:59+02:00,HDT3,50,2156,2096,200125,100,506
2026-09-18T23:42:39+02:00,HDT2,50,1545,1511,277641,100,506
2026-09-18T23:44:46+02:00,HDT7.5,50,3830,3366,124641,100,506
2026-09-18T23:46:53+02:00,HDT6,50,3396,3358,124969,100,506
2026-09-18T23:49:38+02:00,HDT4,50,2639,2574,163062,100,506
2026-09-18T23:53:00+02:00,HDT3,50,2108,2097,200047,100,506
2026-09-18T23:57:40+02:00,HDT2,50,1513,1509,277891,100,506
2026-09-18T23:59:46+02:00,HDT7.5,50,3798,3394,123500,100,506
2026-09-19T00:01:53+02:00,HDT6,50,3396,3354,125141,100,506
2026-09-19T00:04:37+02:00,HDT4,50,2639,2588,162094,100,506
2026-09-19T00:07:59+02:00,HDT3,50,2124,2094,200281,100,506
2026-09-19T00:12:39+02:00,HDT2,50,1513,1507,278344,100,506
2026-09-19T00:14:44+02:00,HDT7.5,50,3863,3432,122157,100,506
2026-09-19T00:16:51+02:00,HDT6,50,3396,3348,125313,100,506
2026-09-19T00:19:38+02:00,HDT4,50,2559,2558,164109,100,506
2026-09-19T00:23:00+02:00,HDT3,50,2124,2099,199812,100,506
2026-09-19T00:27:41+02:00,HDT2,50,1513,1501,279469,100,506
2026-09-19T00:29:50+02:00,HDT7.5,50,3814,3302,126954,100,506
2026-09-19T00:31:58+02:00,HDT6,50,3396,3348,125328,100,506
2026-09-19T00:34:43+02:00,HDT4,50,2639,2577,162812,100,506
2026-09-19T00:38:05+02:00,HDT3,50,2108,2098,199906,100,506
2026-09-19T00:42:46+02:00,HDT2,50,1545,1505,278782,100,506
