# HDT throughput run started 2026-08-21T14:17:49+02:00
# config: virtual_file_size_mb=50 conn_interval_units=40 packet_size_bytes=247 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms
2026-08-22T08:18:54+02:00,HDT6,50,2342,2314,181288
2026-08-22T08:22:33+02:00,HDT4,50,1952,1929,217405
2026-08-22T08:26:54+02:00,HDT3,50,1639,1613,260074
2026-08-22T08:32:36+02:00,HDT2,50,1249,1232,340517
2026-08-22T08:35:23+02:00,HDT7.5,50,2576,2533,165573
2026-08-22T08:38:26+02:00,HDT6,50,2342,2302,182208
2026-08-22T08:42:05+02:00,HDT4,50,1952,1926,217834
2026-08-22T08:46:27+02:00,HDT3,50,1639,1610,260585
2026-08-22T08:52:09+02:00,HDT2,50,1249,1231,340818
2026-08-22T08:54:56+02:00,HDT7.5,50,2576,2537,165398
2026-08-22T08:57:59+02:00,HDT6,50,2342,2309,181863
2026-08-22T09:01:38+02:00,HDT4,50,1952,1924,217977
2026-08-22T09:05:59+02:00,HDT3,50,1311,1611,260318
2026-08-22T09:11:42+02:00,HDT2,50,1249,1230,341013
2026-08-22T09:14:29+02:00,HDT7.5,50,2576,2531,165748
2026-08-22T09:17:32+02:00,HDT6,50,2342,2307,181828
2026-08-22T09:21:11+02:00,HDT4,50,1952,1919,218609
2026-08-22T09:25:33+02:00,HDT3,50,1639,1614,259990
2026-08-22T09:31:15+02:00,HDT2,50,1249,1230,340945
2026-08-22T09:34:01+02:00,HDT7.5,50,2576,2539,165180
2026-08-22T09:37:04+02:00,HDT6,50,2342,2305,181977
2026-08-22T09:40:44+02:00,HDT4,50,1952,1920,218544
2026-08-22T09:45:05+02:00,HDT3,50,1639,1615,259770
2026-08-22T09:50:47+02:00,HDT2,50,1249,1231,340895
2026-08-22T09:53:34+02:00,HDT7.5,50,2576,2534,165582
2026-08-22T09:56:36+02:00,HDT6,50,2342,2324,180564
2026-08-22T10:00:16+02:00,HDT4,50,1952,1918,218714
2026-08-22T10:04:37+02:00,HDT3,50,1639,1615,259779
2026-08-22T10:10:19+02:00,HDT2,50,1249,1232,340503
2026-08-22T10:13:04+02:00,HDT7.5,50,2576,2548,164618
2026-08-22T10:16:08+02:00,HDT6,50,2342,2306,181974
2026-08-22T10:19:46+02:00,HDT4,50,1952,1927,217635
